Title,Rating,Body,Review_Text,Sentiment,word_count,char_count,exclam_count,ques_count
Some marketing gimmicks...,3,"This phone has 90hz display, but I see a lag while browing or navigating in apps, doesn't feel like 90hz at all48MP true cam when option selected gives noisy images , otherwise in normal mode works above averageBattery is excellent works for 2 daysHeating issues occur on heavy usage, in normal mode you won't notice itFront cam 8 mp just averageOverall I took 6gb 128 gb version for 13k and doesn't seem as good.Above average phone for the price....","This phone has 90hz display, but I see a lag while browing or navigating in apps, doesn't feel like 90hz at all48MP true cam when option selected gives noisy images , otherwise in normal mode works above averageBattery is excellent works for 2 daysHeating issues occur on heavy usage, in normal mode you won't notice itFront cam 8 mp just averageOverall I took 6gb 128 gb version for 13k and doesn't seem as good.Above average phone for the price....",Neutral,79,450,0,0
Not recommended phone. Do not buy,1,I recieved the phone today and observed that it is lagging a lot unlike like other Samsung phones. Considering it has 6gb ram it should not be hanging at all.Camera quality is terrible.Lots of heating issuesDoes not connect to 5ghz wifiOnly replacement option available for the product and not refund. So choose the product wisely only after reviewing the feedbacks.Bad network quality. Does not catch mobile network.,I recieved the phone today and observed that it is lagging a lot unlike like other Samsung phones. Considering it has 6gb ram it should not be hanging at all.Camera quality is terrible.Lots of heating issuesDoes not connect to 5ghz wifiOnly replacement option available for the product and not refund. So choose the product wisely only after reviewing the feedbacks.Bad network quality. Does not catch mobile network.,Negative,67,417,0,0
Better buy a brick!,1,Don't know if I could get more disappointed by a purchase!!The phone did look okayish in the spec sheet. But it is a very  stupid buy.The first thing you notice is  the IMPRACTICALITY of the phone.It is too heavy(220g) and too thick (about 1cm) to carry. The display is the worst anyone could get at this price point.The processor is reasonably slow. Face detection is a joke. Battery is 6000 mah but will take forever to charge. But the side fingerprint sensor was good .Camera was okayish. Add a few more bucks and buy a better phone with OLED display.,Don't know if I could get more disappointed by a purchase!!The phone did look okayish in the spec sheet. But it is a very  stupid buy.The first thing you notice is  the IMPRACTICALITY of the phone.It is too heavy(220g) and too thick (about 1cm) to carry. The display is the worst anyone could get at this price point.The processor is reasonably slow. Face detection is a joke. Battery is 6000 mah but will take forever to charge. But the side fingerprint sensor was good .Camera was okayish. Add a few more bucks and buy a better phone with OLED display.,Negative,100,554,2,0
Do not  buy this phone if u want good camera,1,Being die hard fan of Samsung it is very difficult to write this review.Camera quality:why say 48MP  when it doesn't even look like 13MP my Mom's Samsung  M10s  camera quality and screen quality are far better than this phone. Regret for buying this phone for such high price booked on first day of launch as it came from Samsung brand. Generallyi go by reviews  but first time ordered on  launch day becoz of the reliability.I regret for the decision i made. Do not recommend the phone for anyone.,Being die hard fan of Samsung it is very difficult to write this review.Camera quality:why say 48MP  when it doesn't even look like 13MP my Mom's Samsung  M10s  camera quality and screen quality are far better than this phone. Regret for buying this phone for such high price booked on first day of launch as it came from Samsung brand. Generallyi go by reviews  but first time ordered on  launch day becoz of the reliability.I regret for the decision i made. Do not recommend the phone for anyone.,Negative,88,498,0,0
Samsung M12 Mobile Phone Problem,1,"The media could not be loaded.
                




   I don't know why Amazon is compromising on its quality to deliver  product's,  its evident nowadays, Recently I have got Samsung M12 product on 7 April 2021 the exchange date is 14 April 2021 ,Now after 7 days this phone display is gone , there is a blur continously in the screen,","The media could not be loaded.
                




   I don't know why Amazon is compromising on its quality to deliver  product's,  its evident nowadays, Recently I have got Samsung M12 product on 7 April 2021 the exchange date is 14 April 2021 ,Now after 7 days this phone display is gone , there is a blur continously in the screen,",Negative,58,336,0,0
Very very Poor network connection,1,"Plz do not buy this mobile.. I am facing poor network issue. In my home others are using without any interruption.. Tried many things.. Asked colleagues, neighbors, mobile store person, google and tried all the ways.. But internet is very slow.. The same sim is working fine in other devise in same location. Even internet is ON it is showing you are offline when i try something. Also took nore than 45 mins to download 72 mb size app. Atlast i cancelled and came out due to intolerance. I am placing return order, will see what is gonna happen.","Plz do not buy this mobile.. I am facing poor network issue. In my home others are using without any interruption.. Tried many things.. Asked colleagues, neighbors, mobile store person, google and tried all the ways.. But internet is very slow.. The same sim is working fine in other devise in same location. Even internet is ON it is showing you are offline when i try something. Also took nore than 45 mins to download 72 mb size app. Atlast i cancelled and came out due to intolerance. I am placing return order, will see what is gonna happen.",Negative,99,546,0,0
Phone 📱 overall review,5,Very good phone. Camera display speed very good. Weight is little heavy.  But worth compare to the price,Very good phone. Camera display speed very good. Weight is little heavy.  But worth compare to the price,Positive,18,104,0,0
One of the best smart phone in this price!,5,"Decent phone.. people say VGA cam because they didn't notice that the aspect ratio for 48 MP camera.. 48 MP cam option is only for 3:4 aspect ratio..And yea its true that the wifi doesn't support 5G bandwidth..  but over all decent mobile for decent price, Got 6GB version for 11.300 using coupon and credit cardThanking Amazon, IndusInd and Samsung!Posted pics are Shot by me on Samsung M12,Those who dont believe they can ask me for Camera Settings.","Decent phone.. people say VGA cam because they didn't notice that the aspect ratio for 48 MP camera.. 48 MP cam option is only for 3:4 aspect ratio..And yea its true that the wifi doesn't support 5G bandwidth..  but over all decent mobile for decent price, Got 6GB version for 11.300 using coupon and credit cardThanking Amazon, IndusInd and Samsung!Posted pics are Shot by me on Samsung M12,Those who dont believe they can ask me for Camera Settings.",Positive,78,451,1,0
Why there is no slow motion,1,"Don't have slow motion, and to much leg.","Don't have slow motion, and to much leg.",Negative,8,40,0,0
Average Phone,2,The price of the product is OK as per the price bracket. However it was nowhere compared to my old VIVO V5. Made a mistake exchanging the phone.The phone is average...,The price of the product is OK as per the price bracket. However it was nowhere compared to my old VIVO V5. Made a mistake exchanging the phone.The phone is average...,Negative,31,167,0,0
Record sale good price good specs...,4,I have Mo2s and this m12....better buy m12 you get better storage ram camera and finger scanner etc....record selling on Amazon...just checking performance...will give review after 1 month....overall good on specs....,I have Mo2s and this m12....better buy m12 you get better storage ram camera and finger scanner etc....record selling on Amazon...just checking performance...will give review after 1 month....overall good on specs....,Positive,31,217,0,0
Below Average product from Samsung,1,"Except battery life.. rest other options like camera, display , software are all useless. If Mobile size comes under 6 or 6'4 inch then it will be preferable for elder people(above 50 age). Over all it fails in all segments. Micromax in 1 is far better than M12","Except battery life.. rest other options like camera, display , software are all useless. If Mobile size comes under 6 or 6'4 inch then it will be preferable for elder people(above 50 age). Over all it fails in all segments. Micromax in 1 is far better than M12",Negative,48,261,0,0
Samsung I love you,5,Samsung is the beat,Samsung is the beat,Positive,4,19,0,0
"Never Buy by watching the image online, very bad experience.",1,"1. Mobile is heavy,2. Company has given 48 Megapixel Camera, but camera quality is very poor,3. Mobile is not slim, and it is very thick mobile,4. Screen size is narrower than image5. Never buy, this mobile it is the waste of moneyAs per Amazon Policy they are not ready to return the product, I have wasted my money on this mobile.","1. Mobile is heavy,2. Company has given 48 Megapixel Camera, but camera quality is very poor,3. Mobile is not slim, and it is very thick mobile,4. Screen size is narrower than image5. Never buy, this mobile it is the waste of moneyAs per Amazon Policy they are not ready to return the product, I have wasted my money on this mobile.",Negative,61,332,0,0
Disappointed..Worst mobile ever,2,Genuine feedback after 1 week of usageGood things:Low PriceBad things:1. Battery drains very quickly..my old realme mobile was 3000mah battery but was getting me 1 full day and this phone is 6000mah Battery but drains by evening2. I am using 4GB ram and its very very slow and very lagging..very versatile very horrible3. Finger print scanner everytime i get error message could not detect correct impression try again4. It says 48mp true camera but i could not notice any difference from my old 16mp camera5. No cancelation or refund policy6. NEVER BUY FROM AMAZON IF NO CANCEL/REFUND OPTION IS THEREConclusion:Better to chose any oppo or realme mobile in this budget,Genuine feedback after 1 week of usageGood things:Low PriceBad things:1. Battery drains very quickly..my old realme mobile was 3000mah battery but was getting me 1 full day and this phone is 6000mah Battery but drains by evening2. I am using 4GB ram and its very very slow and very lagging..very versatile very horrible3. Finger print scanner everytime i get error message could not detect correct impression try again4. It says 48mp true camera but i could not notice any difference from my old 16mp camera5. No cancelation or refund policy6. NEVER BUY FROM AMAZON IF NO CANCEL/REFUND OPTION IS THEREConclusion:Better to chose any oppo or realme mobile in this budget,Negative,110,668,0,0
Worst Samsung for me.,1,Had some expectations. Worst mobile experience. I might be happy if I have bought this phone 4 years back. Such a bad touch screen slogging performance. Nothing is good in this,Had some expectations. Worst mobile experience. I might be happy if I have bought this phone 4 years back. Such a bad touch screen slogging performance. Nothing is good in this,Negative,31,176,0,0
48mo camera a dream,1,Very bad product.I never think such a product will come from Samsung.It had 48 MP only for show.Photos are not clear .On checking the photo size I found that 12mp again I was astonished I contacted customer care of Samsung they told me to change the camera setting 48 MP then I got photo in 48mp the clear not better than previous one .It gives very low quality photo again.It was my experience.I had bought by dreaming photo clarity.Net work problem is usually Samsung problem here .The only better thing in this phone is battery and quick charging,Very bad product.I never think such a product will come from Samsung.It had 48 MP only for show.Photos are not clear .On checking the photo size I found that 12mp again I was astonished I contacted customer care of Samsung they told me to change the camera setting 48 MP then I got photo in 48mp the clear not better than previous one .It gives very low quality photo again.It was my experience.I had bought by dreaming photo clarity.Net work problem is usually Samsung problem here .The only better thing in this phone is battery and quick charging,Negative,98,549,0,0
"Positively warning, Never buy it. Terrible product. Never gonna buy samsung again.",1,"Edit1: adding on after using it for a few months, the call quality is terrible and microphone is also not working properly, Please look after other ones, waste of moneyThough the battery life is great, the charge time is long. Don't buy it. The performance  drop is so exaggerated. We can't switch between  apps without waiting for 3 to 4 seconds minimum.  Camera quality is bad as well.Edit 2:Worst mobile I have ever bought. Never buy it. There are lots of bugs, wifi calling gets switched off automatically, Sim signal service are irritating. Bluetooth is of inferior quality. Lte settings change automatically.","Edit1: adding on after using it for a few months, the call quality is terrible and microphone is also not working properly, Please look after other ones, waste of moneyThough the battery life is great, the charge time is long. Don't buy it. The performance  drop is so exaggerated. We can't switch between  apps without waiting for 3 to 4 seconds minimum.  Camera quality is bad as well.Edit 2:Worst mobile I have ever bought. Never buy it. There are lots of bugs, wifi calling gets switched off automatically, Sim signal service are irritating. Bluetooth is of inferior quality. Lte settings change automatically.",Negative,102,614,0,0
Surprisingly great!,5,"This phone is great! Writing this review after 2 weeks of using.Battery, camera, display all are good...and Battery is 👍.  Here some sample of photos attached.Phone is little bit heavy..for that large battery.Processor is good for daily use...but not for gaming.  Phone 🔊 is also good.Thank you Amazon.","This phone is great! Writing this review after 2 weeks of using.Battery, camera, display all are good...and Battery is 👍.  Here some sample of photos attached.Phone is little bit heavy..for that large battery.Processor is good for daily use...but not for gaming.  Phone 🔊 is also good.Thank you Amazon.",Positive,48,302,1,0
Payment issue,1,Product is okayBut I cancelled order to get discount by paying for the same product by credit card.Disappointed that it was rejected.,Product is okayBut I cancelled order to get discount by paying for the same product by credit card.Disappointed that it was rejected.,Negative,22,133,0,0
Not compatible with 5 GHz wifi,1,This phone is not compatible with 5 GHz wifi. I have JioFiber which is having 142 Mbps speed but my wifi network is not visible in phone's WIFI.I called to Samsung customer care and he informed that this phone will be connected to wifi which is having 2.5 GHz.I am returning back this product.,This phone is not compatible with 5 GHz wifi. I have JioFiber which is having 142 Mbps speed but my wifi network is not visible in phone's WIFI.I called to Samsung customer care and he informed that this phone will be connected to wifi which is having 2.5 GHz.I am returning back this product.,Negative,54,293,0,0
Good for this price range except no dual band wifi support,3,"Camera picture quality not up to the par! But considering the price range, it is acceptable!But no 5GHz band support! Unacceptable in 2021!!90Hz screen refresh rate does not feel like 90Hz!Lot of lag is present! Don't know if that is a software bug!Battery performance is good!!Speakers are good, as expected.Overall, except the WiFi dual band support issue, rest is acceptable in this price range!!","Camera picture quality not up to the par! But considering the price range, it is acceptable!But no 5GHz band support! Unacceptable in 2021!!90Hz screen refresh rate does not feel like 90Hz!Lot of lag is present! Don't know if that is a software bug!Battery performance is good!!Speakers are good, as expected.Overall, except the WiFi dual band support issue, rest is acceptable in this price range!!",Neutral,64,399,12,0
Awsome phone with brick size.,3,"Recently I bought this galaxym12 for Rs.11k. Overall ok. But onething have to remember thst is thickness of the phone. Its 10mm THICK. Just like a brick in your pocket. Overall dimension of the phone also big. Hight , width, especialy thickness. Before i bought i didn't noticed the sizes of the this piece. Thats my mistake too. But u guys please concern about this review before you buy. Otherthan size completly ok at this price.","Recently I bought this galaxym12 for Rs.11k. Overall ok. But onething have to remember thst is thickness of the phone. Its 10mm THICK. Just like a brick in your pocket. Overall dimension of the phone also big. Hight , width, especialy thickness. Before i bought i didn't noticed the sizes of the this piece. Thats my mistake too. But u guys please concern about this review before you buy. Otherthan size completly ok at this price.",Neutral,76,432,0,0
Nice product,5,"Actually i brought this phone on focus to the 6 gb ram, 128 gb storage, 48 mp camera & 6000ah battery. Later on viewing the review of some customer i  was very upset & regreting myself. But when i received the item and my experience on the phone is 100% satisfy with the product. Awesome phone on this price range.Thank amazon & its seller partners, once more thank for courier partner too which help to delivery my item on time & safty.  Thank all","Actually i brought this phone on focus to the 6 gb ram, 128 gb storage, 48 mp camera & 6000ah battery. Later on viewing the review of some customer i  was very upset & regreting myself. But when i received the item and my experience on the phone is 100% satisfy with the product. Awesome phone on this price range.Thank amazon & its seller partners, once more thank for courier partner too which help to delivery my item on time & safty.  Thank all",Positive,84,448,0,0
does not work with 5GHz wifi,1,Don't get duped by this phone. The description of the phone does not describe wifi support anywhere. Who makes a phone without 5GHz support in the year 2021!!! Apparently Samsung does. This pathetic piece of plastic does not support for 5GHz wifi.,Don't get duped by this phone. The description of the phone does not describe wifi support anywhere. Who makes a phone without 5GHz support in the year 2021!!! Apparently Samsung does. This pathetic piece of plastic does not support for 5GHz wifi.,Negative,42,247,3,0
